candidate_id,name,name_bn,area,address,latitude,longitude,theme,theme_year,description,opening_time,closing_time,parking,toilet,food,medical_assistance,accessibility,contact,crowd_status,verification_status,source,source_url,verification_notes,verified_by,photograph_status
OWNER-11,Kalnagate Bank Para,কালনাগেট ব্যাংক পাড়া,Kalnagate,"Bank Para, Kalna Gate, Bardhaman",23.2370,87.8780,অর্ধনারীশ্বর,2025,Neighborhood puja in Bank Para vicinity celebrated with spiritual mythological iconography.,,,,,,,,,Low,OWNER SUPPLIED,Project Owner Supplied / Ward 28 Civic Notice,,Kalna Gate area confirmed within municipal Ward boundaries. Theme owner-supplied.,Editorial Review,OWNER/COMMITTEE PHOTO NEEDED
OWNER-12,Sripally Officers Colony,শ্রীপল্লী অফিসার্স কলোনি,Sripally,"Officers Colony Ground, Sripally, Bardhaman",23.2305,87.8630,যোগ শক্তি,2025,Residential officers quarter community celebration characterized by serene environment and traditional rituals.,,,true,,,,true,,Low,OWNER SUPPLIED,Project Owner Supplied / Sripally Residents Association,,Residential colony compound verified. Secure premises with internal parking.,Editorial Review,OWNER/COMMITTEE PHOTO NEEDED
OWNER-13,Bandhab Sangha Durga Puja Committee,বান্ধব সংঘ দুর্গাপূজা কমিটি,Sripally / Kanchanbari,"Bandhab Sangha Club Ground, Bardhaman",23.2320,87.8600,পিঞ্জরে প্রাণ মুক্তির গান,2025,Long-standing social club Durga Puja emphasizing artistic expressions of liberty and nature.,,,,,,,,,Low,OWNER SUPPLIED,Project Owner Supplied / Local Club Directory,,Club grounds verified. Thematic concept owner-supplied.,Editorial Review,OWNER/COMMITTEE PHOTO NEEDED
OWNER-14,Shyamlal Sarbojanin,শ্যামলাল সার্বজনীন,Shyamlal,"Shyamlal Colony, Near Railway Line, Bardhaman",23.2395,87.8505,হর হর মহাদেব,2025,Neighborhood community puja known for spiritual Shiva-Shakti iconography.,,,,,,,,,Low,OWNER SUPPLIED,Project Owner Supplied / Ward Civic Directory,,Shyamlal locality verified. Theme owner-supplied; awaiting 2026 circular.,Editorial Review,OWNER/COMMITTEE PHOTO NEEDED
OWNER-15,Natural City Durga Puja Committee,ন্যাচারাল সিটি,G.T. Road / Nababhat,"Natural City Residential Complex, G.T. Road, Bardhaman",23.2620,87.8340,সাবেকিয়ানা,2025,Modern gated-community Durga Puja celebrating pure classical Sabekiana traditions and authentic ritual customs.,,,true,true,true,true,true,,Low,OWNER SUPPLIED,Project Owner Supplied / Apartment Owners Association,,Private gated complex. Full facilities for residents/guests. Traditional idol style confirmed.,Editorial Review,OWNER/COMMITTEE PHOTO NEEDED
CAND-01,Bajepratappur Traffic Colony Barowari,বাজেপ্রতাপপুর ট্রাফিক কলোনি বারোয়ারি,Bajepratappur,"Traffic Colony, Bajepratappur, Bardhaman",23.2375,87.8860,,,Well-known eastern suburban community puja organized near the railway traffic quarters.,,,,,,,,,Low,NEEDS REVIEW,Purba Bardhaman District Police Traffic Route Guide,https://purbabardhaman.nic.in,Location verified in Bajepratappur. Pandal dimensions and facilities need on-ground verification.,Research Team,LICENSED PHOTO NEEDED
CAND-02,Sabuj Sangha Durgotsav,সবুজ সংঘ,Golapbag,"Golapbag Road, Near Burdwan University Campus, Bardhaman",23.2515,87.8480,,,Popular club puja situated in the educational hub near Golapbag campus.,,,,,,,,,Low,NEEDS REVIEW,University Area Civic Directory,,Coordinates placed near Golapbag entrance. Theme and committee phone numbers unverified.,Research Team,NEEDED
CAND-03,Padmashree Sangha,পদ্মশ্রী সংঘ,Nutanganj,"Nutanganj By-lane, Bardhaman",23.2470,87.8740,,,Traditional community puja organized by youth club in Nutanganj.,,,false,,,,,,Low,NEEDS REVIEW,Burdwan Municipality Registered Club Roster,https://burdwanmunicipality.gov.in,Dense alley location; street parking absent. Exact pandal plot requires verification.,Research Team,NEEDED
CAND-04,Ghor Dour Chati Sarbojanin,ঘোড় দৌড় চটি সার্বজনীন,Ghor Dour Chati,"G.T. Road, Ghor Dour Chati, Bardhaman",23.2605,87.8360,,,Arterial highway community puja along the western entrance of Bardhaman.,,,,,,,,,Low,NEEDS REVIEW,District Administration Highway Traffic Order,https://purbabardhaman.nic.in,Roadside pandal verified under traffic management notices. Facilities unconfirmed.,Research Team,NEEDED
CAND-05,Sarba Milan Sangha,সর্ব মিলন সংঘ,Baburbag,"Baburbag, Near BMCH, Bardhaman",23.2450,87.8625,,,Longstanding club puja known for community feasts and blood donation camps.,,,,,,true,,,Low,NEEDS REVIEW,Burdwan Medical College Area Directory,,Medical support booth verified due to immediate hospital proximity. Theme unconfirmed.,Research Team,NEEDED
CAND-06,Ichlabad Youth Club,ইচ্ছালাবাদ ইউথ ক্লাব,Ichlabad,"Ichlabad Main Road, Bardhaman",23.2310,87.8810,,,Southern residential sector puja featuring active youth participation.,,,,,,,,,Low,NEEDS REVIEW,Ward 26 Civic Records,,Ward committee registered. Coordinates approximate to club building.,Research Team,NEEDED
CAND-07,Kiran Sangha,কিরণ সংঘ,Chhotonilpur,"Chhotonilpur Pirtala, Bardhaman",23.2350,87.8720,,,Neighborhood club puja organized in Chhotonilpur area.,,,,,,,,,Low,NEEDS REVIEW,Local Municipal Ward Roster,,Chhotonilpur site verified; needs physical pandal gate survey.,Research Team,NEEDED
CAND-08,Vivekananda Sebak Sangha,বিবেকানন্দ সেবক সংঘ,Ranisayar Uttar Par,"North Bank of Ranisayar, Bardhaman",23.2435,87.8645,,,Spiritual and philanthropic club organizing Durga Puja beside the historic Ranisayar tank.,,,,,,,,,Low,NEEDS REVIEW,Ranisayar Heritage Precinct Survey,,Scenic waterbody location; coordinates confirmed within Ranisayar northern promenade.,Research Team,NEEDED
CAND-09,Sukanta Smriti Sangha,সুকান্ত স্মৃতি সংঘ,Kanchanbari,"Kanchanbari, Sripally Post, Bardhaman",23.2285,87.8590,,,Neighborhood club organizing puja with focus on literature and folk art.,,,,,,,,,Low,NEEDS REVIEW,Ward 31 Committee Roster,,Local club confirmed. Needs contact person and facility confirmation.,Research Team,NEEDED
CAND-10,Mayur Mahal Sarbojanin,ময়ূর মহল,Rajbati Precinct,"Mayur Mahal Gate, Bardhaman Rajbati Campus",23.2505,87.8520,,,Heritage community puja located at the gateway of the historic Burdwan Raj Palace compound.,,,,,,,,,Low,VERIFIED,Purba Bardhaman Heritage Conservation Committee & District Administration,https://purbabardhaman.nic.in,Historic Rajbati boundary verified. Rigorously documented heritage zone.,Research Team,LICENSED PHOTO NEEDED
CAND-11,Sarvamangala Mandir Durgotsav,সর্বমঙ্গলা মন্দির,Sarvamangala Para,"Sarvamangala Temple Complex, Bardhaman",23.2389,87.8638,ঐতিহ্যবাহী শারদীয় মহোৎসব (Nitya Puja & Special Sharad Mahotsav),2026,Centuries-old presiding deity temple of Bardhaman; royal Navapatrika rituals followed per Bardhaman Raj family customs.,05:30,22:00,false,true,true,true,,,High,VERIFIED,Sarvamangala Trust Board & West Bengal Tourism Dept,https://wbtourism.gov.in,Historic temple coordinates and daily traditional ritual calendar verified by District Trust Board. High crowd footfall.,Research Team,AVAILABLE FOR REVIEW
CAND-12,Baikunthapur Joydurga Mandir,বৈকুণ্ঠপুর জয়দুর্গা,Baikunthapur,"Baikunthapur Temple Compound, Bardhaman",23.2420,87.8920,নাইন-মেট্যাল জয়দুর্গা নিত্য ও শারদোৎসব,2026,Historic temple housing Ashtadhatu Joydurga worshipped under royal sanction of the Maharaja of Burdwan.,06:00,21:00,true,,,,,,Moderate,VERIFIED,District Administration Heritage Records / Paschim Banga Itihas Samsad,https://purbabardhaman.nic.in,Heritage site verified. Temple trust oversees annual Durgotsav according to classical scriptural traditions.,Research Team,AVAILABLE FOR REVIEW
CAND-13,Guskara Chongder Bari Durga Puja,গুসকরার Chongder Bari,Guskara,"Chongder Para, Guskara Municipality, Purba Bardhaman",23.4985,87.7510,ঐতিহ্যবাহী বনেদি বাড়ির পূজা,2026,Century-old heritage Bonedi Bari Durga Puja in Guskara celebrated with traditional Ekchala protima and ancestral rites.,07:00,22:00,true,,,,,,Low,VERIFIED,Guskara Municipality Cultural Survey & Regional Heritage Documentation,https://guskaramunicipality.org,Bonedi household tradition verified in Guskara. Coordinates verified within northern Purba Bardhaman sub-district.,Research Team,OWNER/COMMITTEE PHOTO NEEDED
CAND-14,Guskara Patra Bari Durga Puja,গুসকরার Patra Bari,Guskara,"Patra Para, Guskara Municipality, Purba Bardhaman",23.4960,87.7535,সাবেকি বনেদি পূজা,2026,Traditional heritage family puja in Guskara celebrated with classical Dhaak and family rituals.,07:00,21:30,,,,,,,Low,VERIFIED,Regional Heritage Documentation (Guskara),,Family temple premises verified; traditional non-commercial celebration.,Research Team,OWNER/COMMITTEE PHOTO NEEDED
CAND-15,Guskara Majhi Bari Durga Puja,গুসকরার Majhi Bari,Guskara,"Majhi Para, Guskara, Purba Bardhaman",23.4930,87.7560,ঐতিহ্যবাহী কুলপূজা,2026,Historic ancestral household Durga Puja in Guskara.,07:00,21:00,,,,,,,Low,VERIFIED,Regional Heritage Documentation (Guskara),,Ancestral residence puja verified. Strict scriptural rituals observed.,Research Team,OWNER/COMMITTEE PHOTO NEEDED
DUP-01,Badamtala Sarbojanin Durga Puja,বাদামতলা সার্বজনীন,Badamtala,"Badamtala, Kalna Road, Bardhaman",23.2335,87.8660,,,Duplicate record entry of OWNER-06 (Badamtala Khaluibil Sarbojanin).,,,,,,,,,Low,DUPLICATE,Cross-reference with OWNER-06,,Duplicate of OWNER-06 (Badamtala Khaluibil Sarbojanin). Merged into canonical record OWNER-06.,Research Team,N/A (DUPLICATE)
